선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,고4,HBP,희플,희타,병살,도실,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,볼넷%,삼진%,볼/삼,ISO,타수/홈런,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA,WAR
황경태      ,두산  ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,-0.03,0,100,0,0,,0,0,0,-0.19,,0,0,-0.31,-0.03
나원탁      ,롯데  ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,-0.03,0,100,0,0,,0,0,0,-0.19,,0,0,-0.31,-0.03
서진용      ,SSG   ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,-0.03,0,100,0,0,,0,0,0,-0.19,,0,0,-0.31,-0.03
오장한      ,NC    ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,-0.03,0,100,0,0,,0,0,0,-0.19,,0,0,-0.31,-0.03
최종은      ,롯데  ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,-0.03,0,100,0,0,,0,0,0,-0.19,,0,0,-0.31,-0.03
박성재      ,두산  ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,-0.03,0,100,0,0,,0,0,0,-0.19,,0,0,-0.31,-0.03
이주형      ,Hero  ,5,11,10,1,0,0,0,1,0,0,0,0,0,0,1,3,1,7,0,0,0.1,0.182,0.4,0.582,0.249,-0.08,9.1,63.6,0.14,0.3,10,0.582,0.77,2.31,0.46,1.81,0,0.249,-0.89,-0.08
송호정      ,한화  ,10,11,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0.091,0,0.091,0.07,-0.24,9.1,72.7,0.12,0,,0.091,0.02,0.05,-1.33,6.81,0,0.07,-2.69,-0.24
김주성      ,LG    ,3,7,6,1,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0.167,0.286,0.667,0.953,0.391,0.06,14.3,42.9,0.33,0.5,6,0.953,1.22,6.59,1.2,1.81,0,0.391,0.34,0.06
정상호      ,SSG   ,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.08,0,66.7,0,0,,0,0,0,-0.56,,0,0,-0.93,-0.08
백동훈      ,두산  ,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,-0.09,0,66.7,0,0,,0,0,0,-0.56,,0,0,-0.93,-0.09
백승민      ,삼성  ,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.09,0,66.7,0,0,,0,0,0,-0.56,,0,0,-0.93,-0.09
홍현빈      ,KT    ,43,12,11,2,2,0,0,0,0,0,0,1,0,1,8,0,0,8,0,1,0.182,0.182,0.182,0.364,0.167,-0.25,0,66.7,0,0,,0.364,0.21,0.52,-0.4,23.62,-0.46,0.167,-1.87,-0.25
강로한      ,롯데  ,21,35,33,4,2,0,0,2,0,0,0,0,0,0,7,4,2,18,0,0,0.121,0.171,0.303,0.474,0.209,-0.31,5.7,51.4,0.11,0.182,16.5,0.474,1.8,1.68,0.18,8.06,0,0.209,-4.12,-0.31
이명기      ,Hero  ,3,8,6,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0.167,0.375,0.167,0.542,0.308,-0.01,25,37.5,0.67,0,,0.542,0.57,3.08,0.77,1.81,0,0.308,-0.22,-0.01
이주찬      ,롯데  ,3,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,-0.23,0,62.5,0,0,,0,0,0,-1.48,,0,0,-2.47,-0.23
오선우      ,KIA   ,9,16,15,1,1,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0.067,0.125,0.067,0.192,0.106,-0.33,6.2,56.2,0.11,0,,0.192,0.16,0.31,-1.42,4.31,0,0.106,-3.39,-0.33
신성현      ,두산  ,11,15,11,2,2,0,0,0,0,1,0,0,0,0,3,0,3,6,0,0,0.182,0.4,0.182,0.582,0.33,0.04,20,40,0.5,0,,0.582,1.22,3.66,1.73,5.56,0,0.33,-0.11,0.04
고명준      ,SSG   ,3,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,-0.16,0,60,0,0,,0,0,0,-0.93,,0,0,-1.54,-0.16
김지수      ,한화  ,11,25,24,2,1,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0.083,0.12,0.125,0.245,0.118,-0.48,4,56,0.07,0.042,,0.245,0.39,0.48,-1.94,1.81,0,0.118,-5.02,-0.48
이진영      ,KIA   ,17,47,40,8,3,2,1,2,0,4,0,0,0,0,8,5,3,22,1,0,0.2,0.319,0.45,0.769,0.345,0.22,6.4,46.8,0.14,0.25,20,0.769,6.49,5.48,6.1,15.25,0.2,0.345,0.32,0.22
백용환      ,KIA   ,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.286,0,0.286,0.221,0.02,28.6,28.6,1,0,,0.286,0.15,0.81,0.12,1.81,0,0.221,-0.75,0.02
권동진      ,KT    ,86,86,67,17,11,5,0,1,0,0,0,1,0,3,21,6,18,30,3,0,0.254,0.412,0.373,0.785,0.38,0.66,20.9,34.9,0.6,0.119,67,0.785,11.82,5.91,13.88,6.19,-0.8,0.38,3.3,0.66
오정환      ,KIA   ,9,18,17,4,3,1,0,0,0,0,0,0,0,0,1,2,1,9,0,1,0.235,0.278,0.294,0.572,0.266,-0.06,5.6,50,0.11,0.059,,0.572,1.46,3.03,1.03,2.81,0,0.266,-1.18,-0.06
강경학      ,한화  ,12,26,22,3,3,0,0,0,0,0,0,0,0,0,1,0,4,10,1,0,0.136,0.269,0.136,0.405,0.225,-0.15,15.4,38.5,0.4,0,,0.405,1.23,1.75,0.52,3.89,0.2,0.225,-2.68,-0.15
김규성      ,KIA   ,54,41,36,5,4,1,0,0,0,0,0,0,0,1,8,2,5,17,0,0,0.139,0.244,0.167,0.411,0.215,-0.35,12.2,41.5,0.29,0.028,,0.411,1.6,1.35,0.43,6.55,-0.46,0.215,-4.61,-0.35
