Kilometers_Driven,Seats
72000,5
41000,5
46000,5
87000,7
40670,5
75000,5
86999,5
36000,8
64430,5
65932,5
25692,5
60000,5
64424,5
72000,5
85000,5
110000,7
58950,5
25000,5
77469,5
78500,5
32982,5
55392,5
55985,5
45807,5
33000,5
51920,5
54000,5
54000,5
37430,5
262000,7
62000,5
87615,5
72000,7
35000,5
55431,5
83816,5
50075,5
52000,5
85000,5
62000,5
90000,5
19698,4
22033,6
35487,5
46374,5
52001,5
58005,5
70704,7
75000,5
75800,6
13648,5
52000,5
53000,5
65650,5
54000,5
39000,5
16542,5
32000,5
121812,5
39300,5
22000,8
72000,5
58000,5
65000,5
178000,5
65664,5
63000,5
15369,5
63000,7
13000,5
73000,5
55729,7
45178,5
56066,5
37300,5
56000,5
111111,5
230000,8
104000,7
87591,5
95100,5
70000,5
54944,5
70337,5
99638,5
52000,5
75000,5
95980,5
16000,5
73745,5
18949,5
107000,7
48367,5
57000,5
58000,7
30000,5
34212,5
70002,5
62000,5
62001,5
78958,5
30180,5
32851,7
30000,5
66000,5
93850,5
53000,5
78000,5
65000,7
40000,5
30000,7
38053,5
25500,4
56087,5
71088,5
55000,7
32700,5
39882,5
128000,5
55000,5
102000,5
53753,5
10250,5
43874,5
32684,4
42000,8
28352,5
89900,5
47700,5
55000,5
44285,5
54000,7
30232,5
88500,5
13372,2
12645,5
94385,5
31821,5
12000,5
88578,5
44965,5
45044,5
34204,5
80759,5
91235,7
38800,5
83000,5
41283,5
23000,4
48000,5
48214,5
35000,5
35277,5
54620,5
136997,5
14322,5
65634,5
6000,5
33280,5
29000,5
42831,5
90000,7
24005,5
32792,7
147898,5
131765,7
65000,5
66123,5
41000,5
23550,5
45000,5
60000,5
44414,5
1000,5
62500,5
21000,5
8525,5
29000,5
40000,5
88000,5
53537,5
216000,5
51000,5
118500,5
63000,5
25000,8
37382,5
24773,5
62000,5
52340,5
56739,7
36091,5
120000,5
33000,7
60006,
52000,5
43571,5
50000,5
113000,5
90000,5
29000,7
20000,5
61012,5
87459,5
70500,5
64103,5
76000,5
104000,5
42001,
37245,5
45000,5
117837,5
30000,5
27057,5
8500,5
30500,5
56000,5
44000,5
10500,5
26000,5
25166,5
64000,5
61000,5
107000,5
29161,5
32000,5
46173,5
47000,5
26327,4
70436,
200000,5
60813,5
45000,5
64000,5
41284,5
14165,7
67000,7
32572,5
14960,5
55980,5
74000,5
56847,5
121374,7
52000,7
118000,7
72000,5
33915,5
82002,5
33000,5
34000,5
55000,5
160538,5
60000,5
49575,5
83000,5
51346,5
43000,7
35000,5
27872,5
16514,5
120000,5
143275,5
99000,5
52000,5
29819,5
57000,5
88500,5
28000,5
67000,5
26000,5
120000,5
51982,5
36000,5
47000,7
60000,5
31025,5
105000,8
121900,5
22695,5
73000,5
32227,5
55000,5
11287,7
48000,5
54308,5
78442,5
46000,5
45051,5
69000,5
49000,5
45000,5
64000,5
60000,5
62178,5
58006,5
74000,5
77771,5
45275,5
48000,7
31652,5
109000,7
31978,5
70000,5
15000,5
59138,5
61726,5
48000,5
58000,5
60020,5
77815,5
29000,5
44000,5
108626,5
71791,5
91931,5
158000,7
91183,5
65000,5
88428,7
138000,5
18000,7
60000,5
48000,5
160000,5
40000,5
51495,5
30000,4
97430,7
42496,5
83000,5
37000,5
28503,5
76496,5
79152,5
32000,5
35000,5
105000,5
56000,5
73000,5
38000,5
775000,5
80000,5
24973,5
45000,5
87430,5
133944,5
57000,5
27904,5
30717,5
80000,5
47304,5
100000,5
30000,5
68000,5
21000,5
21000,5
119000,5
13747,5
620000,5
70000,5
18000,5
83000,5
130000,5
63400,5
65000,5
8350,5
45000,5
26200,5
11000,5
90000,5
74000,5
37081,5
39000,5
99000,7
38000,5
72000,4
93000,5
5900,5
25000,5
68000,5
35676,7
74310,5
59364,5
41380,5
33900,5
28000,5
50958,5
93982,5
95000,5
9000,5
52516,5
20000,4
56451,5
37000,5
17400,5
