산업별(1),수익현황별(1),2024.01,2024.02,2024.03,2024.04,2024.05,2024.06
전체,회사수 (개),716,718,713,724,717,715
전체,매출액 (백만원),1537709294,1537745703,1537685032,1489889564,1486844185,1486795179
전체,영업이익 (백만원),69306549,69298279,69452145,36172592,36170207,36125027
전체,경상이익 (백만원),72301466,72293720,72454854,69261111,71192038,71148656
전체,당기순이익 (백만원),58182568,58174821,58300024,69986642,71783174,71739792
전체,납입자본이익률 (%),76.63,76.52,77.11,88.98,92.39,92.4
전체,자기자본이익률 (%),4.98,4.98,5,5.67,5.84,5.84
전체,총자본경상이익률 (%),3.42,3.42,3.44,3.11,3.22,3.21
전체,매출액경상이익률 (%),4.7,4.7,4.71,4.65,4.79,4.79
전체,매출액이익률 (%),3.78,3.78,3.79,4.7,4.83,4.83
전체,매출액증가율 (%),12.61,12.46,12.34,-2.49,-3.36,-3.36
"농업, 임업 및 어업",회사수 (개),3,3,3,3,3,3
"농업, 임업 및 어업",매출액 (백만원),966597,966597,966597,941886,941886,941886
"농업, 임업 및 어업",영업이익 (백만원),44373,44373,44373,-3471,-3471,-3471
"농업, 임업 및 어업",경상이익 (백만원),51743,51743,51743,12487,12487,12487
"농업, 임업 및 어업",당기순이익 (백만원),38229,38229,38229,10737,10737,10737
"농업, 임업 및 어업",납입자본이익률 (%),67.94,67.94,67.94,19.08,19.08,19.08
"농업, 임업 및 어업",자기자본이익률 (%),4.06,4.06,4.06,1.14,1.14,1.14
"농업, 임업 및 어업",총자본경상이익률 (%),3.78,3.78,3.78,0.91,0.91,0.91
"농업, 임업 및 어업",매출액경상이익률 (%),5.35,5.35,5.35,1.33,1.33,1.33
"농업, 임업 및 어업",매출액이익률 (%),3.95,3.95,3.95,1.14,1.14,1.14
"농업, 임업 및 어업",매출액증가율 (%),-36.27,-36.27,-36.27,-52.86,-2.56,-2.56
광업,회사수 (개),1,1,1,1,-,-
광업,매출액 (백만원),12107,12107,12107,29866,-,-
광업,영업이익 (백만원),-7346,-7346,-7346,-4303,-,-
광업,경상이익 (백만원),-16424,-16424,-16424,-28689,-,-
광업,당기순이익 (백만원),-16267,-16267,-16267,-27720,-,-
광업,납입자본이익률 (%),-76.79,-76.79,-76.79,-130.81,-,-
광업,자기자본이익률 (%),-22.23,-22.23,-22.23,-54.33,-,-
광업,총자본경상이익률 (%),-15.58,-15.58,-15.58,-28.63,-,-
광업,매출액경상이익률 (%),-135.66,-135.66,-135.66,-96.06,-,-
광업,매출액이익률 (%),-134.36,-134.36,-134.36,-92.81,-,-
광업,매출액증가율 (%),-21.98,-21.98,-21.98,146.68,-,-
음식료품,회사수 (개),36,36,36,36,36,36
음식료품,매출액 (백만원),43101372,43101372,43101372,45262918,45262918,45262918
음식료품,영업이익 (백만원),1920210,1920210,1920210,2119065,2119065,2119065
음식료품,경상이익 (백만원),1687791,1687791,1687791,2147709,2147709,2147709
음식료품,당기순이익 (백만원),1313596,1313596,1313596,1755355,1755355,1755355
음식료품,납입자본이익률 (%),99.18,99.18,99.18,132.52,132.52,132.52
음식료품,자기자본이익률 (%),5.19,5.19,5.19,6.65,6.65,6.65
음식료품,총자본경상이익률 (%),3.49,3.49,3.49,4.38,4.38,4.38
음식료품,매출액경상이익률 (%),3.92,3.92,3.92,4.74,4.74,4.74
음식료품,매출액이익률 (%),3.05,3.05,3.05,3.88,3.88,3.88
음식료품,매출액증가율 (%),14.74,14.74,14.74,5.02,5.02,5.02
섬유의복,회사수 (개),22,22,22,23,24,24
섬유의복,매출액 (백만원),11010894,11010894,11010894,10142797,10175006,10175006
섬유의복,영업이익 (백만원),1062637,1062637,1062637,945976,945255,945255
섬유의복,경상이익 (백만원),1305443,1305443,1305443,855044,853521,853521
섬유의복,당기순이익 (백만원),952544,952544,952544,698773,697250,697250
섬유의복,납입자본이익률 (%),145.25,145.25,145.25,101.93,100.82,100.82
섬유의복,자기자본이익률 (%),12.46,12.46,12.46,7.89,7.87,7.87
섬유의복,총자본경상이익률 (%),11.61,11.61,11.61,7.01,6.98,6.98
섬유의복,매출액경상이익률 (%),11.86,11.86,11.86,8.43,8.39,8.39
섬유의복,매출액이익률 (%),8.65,8.65,8.65,6.89,6.85,6.85
