시도,시군,업종,업소명,주소,연락처,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3
서울특별시,종로구,기타비요식업,㈜추억을 파는 극장 (허리우드클래식),"서울특별시 종로구 삼일대로 428 (낙원동, 4층)",02-367-4235,영화입장권(경로),2000,,,,
서울특별시,종로구,한식_일반,눈나무집,서울특별시 종로구 삼청로 136-1,02-739-6742,김치말이국수,6500,김치볶음밥,6500,,
서울특별시,종로구,중식,대륙,서울특별시 종로구 종로 125 (종로3가) 1~2층,02-766-8411,짜장면,7000,짬뽕,8000,,
서울특별시,종로구,양식,돈까스보라,서울특별시 종로구 대학로5길 5 (연건동),02-741-3455,수제 돈까스,7000,,,,
서울특별시,종로구,한식_육류,만족김치삼겹살(만족숯불갈비),서울특별시 종로구 종로53길 7-2 1층,02-765-1298,김치삼겹살,14000,,,,
서울특별시,종로구,한식_일반,먹고갈래지고갈래,서울특별시 종로구 수표로 117 (낙원동),02-367-1239,삼계탕,13000,산채비빔밥,7000,,
서울특별시,종로구,미용업,믿음미용실,서울특별시 종로구 계동길 91,,커트,8000,파마,25000,,
서울특별시,종로구,한식_일반,삼삼 뚝배기,서울특별시 종로구 동숭길 51 (동숭동),02-765-4683,된장뚝배기,7000,순두부뚝배기,7000,황기반계탕,7500
서울특별시,종로구,한식_일반,서울식당,서울특별시 종로구 창신길 50 (창신동) 1층,02-764-7587,백반,7000,된장찌개,8000,,
서울특별시,종로구,한식_일반,서울풍경,서울특별시 종로구 북촌로5길 39 (화동) 1층,02-735-7799,서울풍경정식(제육뚝불고등어조림된장찌개)(점심2인이상),15000,왕돈가스,10000,,
서울특별시,종로구,기타요식업,세종커피,서울특별시 종로구 세종대로23길 54 (당주동) 지하1층 26호,,아메리카노,2500,카페라떼,3500,에이드/스무디,4500
서울특별시,종로구,한식_육류,수원성갈비,서울특별시 종로구 창신3길 9 (창신동),02-745-3576,돼지갈비(250g),13000,,,,
서울특별시,종로구,기타요식업,약속커피숍,서울특별시 종로구 종로 302 (창신동),02-764-1100,원두커피,2000,녹차,2000,,
서울특별시,종로구,미용업,영미용실,서울특별시 종로구 지봉로 62 (숭인동),02-743-6052,커트,8000,파마,20000,,
서울특별시,종로구,한식_일반,옛촌,서울특별시 종로구 종로44길 94 (창신동) 1층,02-745-1235,돼지갈비김치찜,13000,제육볶음,10000,동태탕,10000
서울특별시,종로구,기타요식업,왕관커피숍,서울특별시 종로구 종로 222 (종로5가),02-226-8365,커피,2000,국산차,2000,,
서울특별시,종로구,미용업,은미용실,서울특별시 종로구 사직로 108-6 (내자동),02-738-1882,커트,5000,파마,25000,,
서울특별시,종로구,이용업,이레이발관,서울특별시 종로구 수표로 115 (낙원동),,커트,6000,,,,
서울특별시,종로구,미용업,이소빈 머리나라,서울특별시 종로구 명륜길 9 (명륜3가),02-766-0545,커트,8000,파마,25000,,
서울특별시,종로구,한식_면류,인사동칼국수,서울특별시 종로구 인사동5길 25 1층,02-737-1151,칼국수,6500,된장찌개,6500,,
서울특별시,종로구,미용업,인터미용실,서울특별시 종로구 숭인동길 46 (숭인동),02-922-6363,커트,12000,파마,35000,,
