,종목코드,종목명,EPS,PER,BPS,PBR,주당배당금,배당수익률
0,060310,3S,30.0,74.83,947.0,2.37,0,0.0
1,095570,AJ네트웍스,367.0,12.28,9326.0,0.48,270,5.99
2,006840,AK홀딩스,2635.0,4.87,44339.0,0.29,200,1.56
3,054620,APS,667.0,9.43,11683.0,0.54,0,0.0
4,265520,AP시스템,3997.0,4.9,21396.0,0.92,270,1.38
5,211270,AP위성,739.0,16.51,6680.0,1.83,70,0.57
6,109960,AP헬스케어,80.0,9.2,2518.0,0.29,0,0.0
7,139050,BF랩스,11.0,255.0,5250.0,0.53,0,0.0
8,027410,BGF,813.0,4.3,17286.0,0.2,120,3.43
9,282330,BGF리테일,11337.0,9.57,62197.0,1.74,4100,3.78
10,138930,BNK금융지주,1905.0,5.18,31746.0,0.31,510,5.17
11,001460,BYC,2836.0,11.72,64090.0,0.52,300,0.9
12,001040,CJ,5806.0,21.46,164443.0,0.76,3000,2.41
13,000120,CJ대한통운,10357.0,9.06,180690.0,0.52,500,0.53
14,011150,CJ씨푸드,123.0,30.2,2160.0,1.72,0,0.0
15,097950,CJ제일제당,24081.0,14.47,446325.0,0.78,5500,1.58
16,051500,CJ프레시웨이,4489.0,4.26,24396.0,0.78,450,2.35
17,058820,CMG제약,46.0,51.96,1370.0,1.74,0,0.0
18,056730,CNT85,193.0,4.19,1042.0,0.78,0,0.0
19,000480,CR홀딩스,14.0,420.71,14318.0,0.41,410,6.96
20,000590,CS홀딩스,15091.0,4.53,264028.0,0.26,500,0.73
21,012030,DB,106.0,11.13,2067.0,0.57,0,0.0
22,016610,DB금융투자,151.0,31.36,24561.0,0.19,200,4.22
23,005830,DB손해보험,28955.0,4.18,170486.0,0.71,5300,4.38
24,000990,DB하이텍,6241.0,6.87,41655.0,1.03,580,1.35
25,139130,DGB금융지주,2180.0,3.79,35751.0,0.23,550,6.66
26,025440,DH오토웨어,5.0,71.2,452.0,0.79,0,0.0
27,001530,DI동일,164.0,181.71,30136.0,0.99,250,0.84
28,375500,DL이앤씨,4679.0,6.83,118750.0,0.27,500,1.56
29,068790,DMS,829.0,7.44,13160.0,0.47,90,1.46
30,007340,DN오토모티브,31884.0,2.81,132197.0,0.68,3000,3.35
