종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","2245","50","2.28","30","74.83",,,"947","2.37","0","0.00"
"054620","APS","6310","10","0.16","667","9.46",,,"11683","0.54","0","0.00"
"265520","AP시스템","19600","330","1.71","3997","4.90","4788","4.09","21396","0.92","270","1.38"
"211270","AP위성","12190","210","1.75","739","16.50",,,"6680","1.82","70","0.57"
"109960","AP헬스케어","731","1","0.14","80","9.14",,,"2518","0.29","0","0.00"
"139050","BF랩스","2805","0","0.00","11","255.00",,,"5250","0.53","0","0.00"
"126600","BGF에코머티리얼즈","3860","-5","-0.13",,,,,"6471","0.60","70","1.81"
"013720","CBI","1279","69","5.70",,,,,"1093","1.17","0","0.00"
"083790","CG인바이츠","2450","-35","-1.41",,,,,"1587","1.54","0","0.00"
"035760","CJ ENM","76100","500","0.66",,,"2580","29.50","156237","0.49","0","0.00"
"311690","CJ 바이오사이언스","12700","-150","-1.17",,,,,"7846","1.62","0","0.00"
"051500","CJ프레시웨이","19140","-110","-0.57","4489","4.26","5142","3.72","24396","0.78","450","2.35"
"058820","CMG제약","2380","-45","-1.86","46","51.74",,,"1370","1.74","0","0.00"
"023460","CNH","470","2","0.43",,,,,"2748","0.17","0","0.00"
"056730","CNT85","809","7","0.87","193","4.19",,,"1042","0.78","0","0.00"
"065770","CS","1120","0","0.00",,,,,"902","1.24","0","0.00"
"083660","CSA 코스믹","947","-2","-0.21",,,,,"362","2.62","0","0.00"
"456440","DB금융스팩11호","2330","5","0.22",,,,,,,"0","0.00"
"477760","DB금융스팩12호","2095","-25","-1.18",,,,,,,"0","0.00"
"099520","DGI","1284","0","0.00",,,,,"566","2.27","0","0.00"
"060900","DGP","1148","-31","-2.63",,,,,"2149","0.53","0","0.00"
"290120","DH오토리드","2915","0","0.00",,,,,"5438","0.54","0","0.00"
"025440","DH오토웨어","355","0","0.00","5","71.00",,,"452","0.79","0","0.00"
"068790","DMS","6160","0","0.00","829","7.43",,,"13160","0.47","90","1.46"
"241520","DSC인베스트먼트","3205","45","1.42","543","5.90",,,"3895","0.82","40","1.25"
"180400","DXVX","3545","165","4.88",,,,,"608","5.83","0","0.00"
"245620","EDGC","415","0","0.00",,,,,"324","1.28","0","0.00"
"037370","EG","7720","340","4.61",,,,,"6927","1.11","0","0.00"
"050120","ES큐브","1759","-17","-0.96",,,,,"6161","0.29","0","0.00"
"214270","FSN","1820","36","2.02",,,,,"2272","0.80","0","0.00"
"130500","GH신소재","4520","115","2.61","148","30.54",,,"5394","0.84","0","0.00"
"083450","GST","17840","430","2.47","1985","8.99",,,"12539","1.42","500","2.80"
"297890","HB솔루션","4875","90","1.88","1137","4.29",,,"3319","1.47","30","0.62"
"440290","HB인베스트먼트","2160","15","0.70","444","4.86",,,"2922","0.74","0","0.00"
"078150","HB테크놀러지","2880","60","2.13","983","2.93",,,"3503","0.82","20","0.69"
"195940","HK이노엔","41700","-1850","-4.25","1666","25.03","2889","14.43","42487","0.98","350","0.84"
"028300","HLB","91500","1000","1.10",,,,,"4034","22.68","0","0.00"
"278650","HLB바이오스텝","2640","70","2.72",,,,,"1300","2.03","0","0.00"
"067630","HLB생명과학","11520","290","2.58",,,,,"2209","5.22","0","0.00"
"024850","HLB이노베이션","3355","-135","-3.87",,,,,"858","3.91","0","0.00"
"047920","HLB제약","27800","350","1.28",,,,,"2908","9.56","0","0.00"
"115450","HLB테라퓨틱스","9850","510","5.46",,,,,"2104","4.68","0","0.00"
"046210","HLB파나진","3600","120","3.45",,,,,"1550","2.32","0","0.00"
"403870","HPSP","30200","1600","5.59","990","30.51","1372","22.01","3350","9.01","150","0.50"
"036640","HRS","5340","10","0.19","758","7.04","925","5.77","7165","0.75","200","3.75"
"439730","IBKS제20호스팩","2340","-5","-0.21",,,,,,,"0","0.00"
"442770","IBKS제21호스팩","2250","-30","-1.32",,,,,,,"0","0.00"
"448760","IBKS제22호스팩","2290","5","0.22",,,,,,,"0","0.00"
"467930","IBKS제23호스팩","2185","0","0.00",,,,,,,"0","0.00"
"469480","IBKS제24호스팩","2200","10","0.46",,,,,,,"0","0.00"
"095340","ISC","58600","1000","1.74","749","78.24","3041","19.27","23130","2.53","200","0.34"
"067290","JW신약","1789","28","1.59",,,,,"331","5.40","0","0.00"
"035900","JYP Ent.","51400","500","0.98","3186","16.13","3091","16.63","11897","4.32","574","1.12"
"318000","KBG","6090","250","4.28","541","11.26",,,"4834","1.26","100","1.64"
"024840","KBI메탈","3270","235","7.74","2","1635.00",,,"3450","0.95","0","0.00"
"024120","KB오토시스","3950","40","1.02","92","42.93",,,"9459","0.42","150","3.80"
"455250","KB제25호스팩","2640","0","0.00",,,,,,,"0","0.00"
"458320","KB제26호스팩","2485","0","0.00",,,,,,,"0","0.00"
"464680","KB제27호스팩","1999","3","0.15",,,,,,,"0","0.00"
"476470","KB제28호스팩","2140","-10","-0.47",,,,,,,"0","0.00"
"478390","KB제29호스팩","2055","-15","-0.72",,,,,,,"0","0.00"
"021320","KCC건설","4555","25","0.55","519","8.78","1106","4.12","22370","0.20","130","2.85"
"036670","KCI","7450","30","0.40","1022","7.29",,,"9891","0.75","250","3.36"
"044180","KD","476","15","3.25",,,,,"1219","0.39","0","0.00"
"046440","KG모빌리언스","4635","65","1.42","1176","3.94","965","4.80","9255","0.50","220","4.75"
"151860","KG에코솔루션","6140","50","0.82","1844","3.33",,,"24975","0.25","120","1.95"
"035600","KG이니시스","9980","100","1.01","2909","3.43","2516","3.97","17862","0.56","420","4.21"
"226360","KH 건설","2555","0","0.00",,,,,"5703","0.45","0","0.00"
"111870","KH 미래물산","8910","0","0.00","4998","1.78",,,"23064","0.39","0","0.00"
"060720","KH바텍","11440","200","1.78","1369","8.36","1881","6.08","11142","1.03","400","3.50"
"058400","KNN","751","-5","-0.66","63","11.92",,,"1622","0.46","20","2.66"
"101000","KS인더스트리","2330","-60","-2.51","199","11.71",,,"832","2.80","0","0.00"
"122450","KX","4090","-50","-1.21","420","9.74",,,"6234","0.66","200","4.89"
"052900","KX하이텍","1052","7","0.67","81","12.99",,,"2123","0.50","0","0.00"
"376190","LB루셈","4945","35","0.71","48","103.02",,,"8276","0.60","0","0.00"
"061970","LB세미콘","5170","140","2.78",,,"274","18.86","5769","0.90","0","0.00"
"309960","LB인베스트먼트","4335","155","3.71","286","15.16",,,"5020","0.86","200","4.61"
"225190","LK삼양","1746","105","6.40","14","124.71",,,"593","2.94","60","3.44"
"060370","LS마린솔루션","20350","-450","-2.16","472","43.11","369","55.22","4987","4.08","160","0.79"
"417200","LS머트리얼즈","17630","510","2.98","214","82.38","237","74.54","2668","6.61","22","0.12"
"078020","LS증권","4885","15","0.31","423","11.55",,,"13813","0.35","150","3.07"
"086960","MDS테크","1200","36","3.09","17","70.59",,,"1327","0.90","0","0.00"
"038340","MIT","1233","0","0.00",,,,,"525","2.35","0","0.00"
"160550","NEW","2635","60","2.33",,,,,"3923","0.67","0","0.00"
"053290","NE능률","4340","-40","-0.91","65","66.77",,,"5171","0.84","0","0.00"
"060250","NHN KCP","7580","170","2.29","913","8.30","1134","6.68","5780","1.31","200","2.64"
"104200","NHN벅스","3805","70","1.87",,,,,"5102","0.75","0","0.00"
"222160","NPX","8040","0","0.00","15","536.00",,,"2928","2.75","0","0.00"
"024940","PN풍년","4065","105","2.65","231","17.60",,,"5109","0.80","35","0.86"
"218410","RFHIC","12130","270","2.28","671","18.08","1162","10.44","11103","1.09","100","0.82"
"327260","RF머트리얼즈","7920","140","1.80",,,,,"5259","1.51","0","0.00"
"091340","S&K폴리텍","2735","5","0.18",,,,,"7690","0.36","0","0.00"
"419530","SAMG엔터","12490","300","2.46",,,,,"5718","2.18","0","0.00"
"019550","SBI인베스트먼트","742","9","1.23","52","14.27",,,"783","0.95","0","0.00"
"036120","SCI평가정보","2545","0","0.00","14","181.79",,,"830","3.07","50","1.96"
"246960","SCL사이언스","9500","-50","-0.52",,,,,"2597","3.66","0","0.00"
"099220","SDN","1530","18","1.19",,,,,"1723","0.89","0","0.00"
"036540","SFA반도체","4200","100","2.44",,,"151","27.78","2737","1.53","0","0.00"
"255220","SG","2725","-75","-2.68",,,,,"1048","2.60","0","0.00"
"040610","SG&G","1603","43","2.76","592","2.71",,,"10247","0.16","0","0.00"
"049470","SGA","490","0","0.00",,,,,"643","0.76","0","0.00"
"184230","SGA솔루션즈","526","12","2.33",,,,,"861","0.61","0","0.00"
"016250","SGC E&C","16280","420","2.65",,,"4377","3.72","69166","0.24","750","4.61"
"048550","SM C&C","1734","32","1.88",,,,,"1016","1.71","0","0.00"
"063440","SM Life Design","1383","20","1.47","103","13.43",,,"1239","1.12","0","0.00"
"067160","SOOP","110900","8900","8.73","6874","16.13","9733","11.39","27160","4.08","850","0.77"
"289080","SV인베스트먼트","1884","46","2.50","65","28.98",,,"1322","1.43","20","1.06"
