,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,Brand,Name_new
0,Maruti Wagon R LXI CNG,Mumbai,2682.68,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,38.00000000000001,Maruti,Wagon R LXI CNG
1,Hyundai Creta 1.6 CRDi SX Option,Pune,19162.0,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,19.67,Hyundai,Creta 1.6 CRDi SX Option
2,Honda Jazz V,Chennai,6898.32,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,18.2,Honda,Jazz V
3,Maruti Ertiga VDI,Chennai,9197.76,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,20.77,Maruti,Ertiga VDI
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,27194.71,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,15.2,Audi,A4 New 2.0 TDI Multitronic
5,Hyundai EON LPG Era Plus Option,Hyderabad,3602.46,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,11.105263157894738,Hyundai,EON LPG Era Plus Option
6,Nissan Micra Diesel XV,Jaipur,5365.36,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,23.08,Nissan,Micra Diesel XV
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,26826.8,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,11.36,Toyota,Innova Crysta 2.8 GX AT 8S
8,Volkswagen Vento Diesel Comfortline,Pune,7971.39,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,20.54,Volkswagen,Vento Diesel Comfortline
9,Tata Indica Vista Quadrajet LS,Chennai,2989.27,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,22.3,Tata,Indica Vista Quadrajet LS
10,Maruti Ciaz Zeta,Kochi,15252.95,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,21.56,Maruti,Ciaz Zeta
11,Honda City 1.5 V AT Sunroof,Kolkata,6882.99,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,16.8,Honda,City 1.5 V AT Sunroof
12,Maruti Swift VDI BSIV,Jaipur,8584.58,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,25.2,Maruti,Swift VDI BSIV
13,Land Rover Range Rover 2.2L Pure,Delhi,41389.92,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,12.7,Land Rover,Range Rover 2.2L Pure
14,Mitsubishi Pajero Sport 4X4,Delhi,22994.4,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,13.5,Mitsubishi,Pajero Sport 4X4
15,Honda Amaze S i-Dtech,Kochi,8277.98,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8,Honda,Amaze S i-Dtech
16,Maruti Swift DDiS VDI,Jaipur,9182.43,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,28.4,Maruti,Swift DDiS VDI
17,Renault Duster 85PS Diesel RxL Plus,Kochi,9718.97,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,20.45,Renault,Duster 85PS Diesel RxL Plus
18,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,42922.88,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,14.84,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare
19,BMW 3 Series 320d,Kochi,28436.41,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,22.69,BMW,3 Series 320d
20,Maruti S Cross DDiS 200 Alpha,Bangalore,12646.92,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,23.65,Maruti,S Cross DDiS 200 Alpha
21,Audi A6 2011-2015 35 TFSI Technology,Mumbai,36024.56,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,13.53,Audi,A6 2011-2015 35 TFSI Technology
22,Hyundai i20 1.2 Magna,Kolkata,2866.64,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,18.5,Hyundai,i20 1.2 Magna
23,Volkswagen Vento Petrol Highline AT,Kolkata,4368.94,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,14.4,Volkswagen,Vento Petrol Highline AT
24,Honda City Corporate Edition,Mumbai,6515.08,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,16.8,Honda,City Corporate Edition
25,Nissan Micra Diesel XV,Hyderabad,6515.08,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,23.08,Nissan,Micra Diesel XV
26,Maruti Alto K10 2010-2014 VXI,Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,20.92,Maruti,Alto K10 2010-2014 VXI
27,Honda WRV i-VTEC VX,Kochi,15176.3,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,17.5,Honda,WRV i-VTEC VX
