,Unnamed: 0,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,Brand,Name_new
0,0,Maruti Wagon R LXI CNG,Mumbai,2682.68,2007_2012,72000,Others,Manual,First,26.6,998,58.16,Others,38.0,Maruti,Wagon R LXI CNG
1,1,Hyundai Creta 1.6 CRDi SX Option,Pune,19162.0,2014_2016,41000,Diesel,Manual,First,19.67,1582,126.2,Others,19.67,Hyundai,Creta 1.6 CRDi SX Option
2,2,Honda Jazz V,Chennai,6898.32,2007_2012,46000,Others,Manual,First,18.2,1199,88.7,Others,18.2,Honda,Jazz V
3,3,Maruti Ertiga VDI,Chennai,9197.76,2007_2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,20.77,Maruti,Ertiga VDI
4,4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,27194.71,2013_2014,40670,Diesel,Automatic,Other,15.2,1968,140.8,Others,15.2,Audi,A4 New 2.0 TDI Multitronic
5,5,Hyundai EON LPG Era Plus Option,Hyderabad,3602.46,2007_2012,75000,Others,Manual,First,21.1,814,55.2,Others,11.10526316,Hyundai,EON LPG Era Plus Option
6,6,Nissan Micra Diesel XV,Jaipur,5365.36,2013_2014,86999,Diesel,Manual,First,23.08,1461,63.1,Others,23.08,Nissan,Micra Diesel XV
7,7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,26826.8,2014_2016,36000,Diesel,Automatic,First,11.36,2755,171.5,Others,11.36,Toyota,Innova Crysta 2.8 GX AT 8S
8,8,Volkswagen Vento Diesel Comfortline,Pune,7971.39,2013_2014,64430,Diesel,Manual,First,20.54,1598,103.6,Others,20.54,Volkswagen,Vento Diesel Comfortline
9,9,Tata Indica Vista Quadrajet LS,Chennai,2989.27,2007_2012,65932,Diesel,Manual,Other,22.3,1248,74.0,Others,22.3,Tata,Indica Vista Quadrajet LS
10,10,Maruti Ciaz Zeta,Kochi,15252.95,2017_2019,25692,Others,Manual,First,21.56,1462,103.25,Others,21.56,Maruti,Ciaz Zeta
11,11,Honda City 1.5 V AT Sunroof,Kolkata,6882.99,2007_2012,60000,Others,Automatic,First,16.8,1497,116.3,Others,16.8,Honda,City 1.5 V AT Sunroof
12,12,Maruti Swift VDI BSIV,Jaipur,8584.58,2014_2016,64424,Diesel,Manual,First,25.2,1248,74.0,Others,25.2,Maruti,Swift VDI BSIV
13,13,Land Rover Range Rover 2.2L Pure,Delhi,41389.92,2013_2014,72000,Diesel,Automatic,First,12.7,2179,187.7,Others,12.7,Land Rover,Range Rover 2.2L Pure
14,14,Mitsubishi Pajero Sport 4X4,Delhi,22994.4,2013_2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,13.5,Mitsubishi,Pajero Sport 4X4
15,15,Honda Amaze S i-Dtech,Kochi,8277.98,2014_2016,58950,Diesel,Manual,First,25.8,1498,98.6,Others,25.8,Honda,Amaze S i-Dtech
16,16,Maruti Swift DDiS VDI,Jaipur,9182.43,2017_2019,25000,Diesel,Manual,First,28.4,1248,74.0,Others,28.4,Maruti,Swift DDiS VDI
17,17,Renault Duster 85PS Diesel RxL Plus,Kochi,9718.97,2013_2014,77469,Diesel,Manual,First,20.45,1461,83.8,Others,20.45,Renault,Duster 85PS Diesel RxL Plus
18,18,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,42922.88,2013_2014,78500,Diesel,Automatic,First,14.84,2143,167.62,Others,14.84,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare
19,19,BMW 3 Series 320d,Kochi,28436.41,2013_2014,32982,Diesel,Automatic,First,22.69,1995,190.0,Others,22.69,BMW,3 Series 320d
20,20,Maruti S Cross DDiS 200 Alpha,Bangalore,12646.92,2014_2016,55392,Diesel,Manual,Other,23.65,1248,88.5,Others,23.65,Maruti,S Cross DDiS 200 Alpha
21,21,Audi A6 2011-2015 35 TFSI Technology,Mumbai,36024.56,2014_2016,55985,Others,Automatic,First,13.53,1984,177.01,Others,13.53,Audi,A6 2011-2015 35 TFSI Technology
22,22,Hyundai i20 1.2 Magna,Kolkata,2866.64,2007_2012,45807,Others,Manual,First,18.5,1197,80.0,Others,18.5,Hyundai,i20 1.2 Magna
23,23,Volkswagen Vento Petrol Highline AT,Kolkata,4368.94,2007_2012,33000,Others,Automatic,First,14.4,1598,103.6,Others,14.4,Volkswagen,Vento Petrol Highline AT
24,24,Honda City Corporate Edition,Mumbai,6515.08,2007_2012,51920,Others,Manual,First,16.8,1497,116.3,Others,16.8,Honda,City Corporate Edition
25,25,Nissan Micra Diesel XV,Hyderabad,6515.08,2007_2012,54000,Diesel,Manual,First,23.08,1461,63.1,Others,23.08,Nissan,Micra Diesel XV
26,26,Maruti Alto K10 2010-2014 VXI,Hyderabad,4215.64,2013_2014,54000,Others,Manual,Other,20.92,998,67.1,Others,20.92,Maruti,Alto K10 2010-2014 VXI
27,27,Honda WRV i-VTEC VX,Kochi,15176.3,2017_2019,37430,Others,Manual,First,17.5,1199,88.7,Others,17.5,Honda,WRV i-VTEC VX
28,28,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007_2012,262000,Diesel,Manual,Other,12.8,2494,102.0,7,12.8,Toyota,Innova 2.5 V Diesel 7-seater
29,29,Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013_2014,62000,Diesel,Manual,First,19.01,1461,108.45,Others,19.01,Renault,Duster 110PS Diesel RxZ Pack
30,30,Toyota Corolla Altis G,Delhi,10347.48,2007_2012,87615,Others,Manual,First,14.53,1798,138.1,Others,14.53,Toyota,Corolla Altis G
31,31,Mahindra Ssangyong Rexton RX7,Bangalore,19162.0,2013_2014,72000,Diesel,Automatic,Other,11.18,2696,184.0,7,11.18,Mahindra,Ssangyong Rexton RX7
32,32,Audi A6 2.7 TDI,Kolkata,17629.04,2007_2012,35000,Diesel,Automatic,First,12.4,2698,179.5,Others,12.4,Audi,A6 2.7 TDI
33,33,Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2013_2014,55431,Others,Manual,Other,16.09,1598,103.5,Others,16.09,Volkswagen,Vento 1.6 Highline
34,34,Maruti Wagon R LXI BSIII,Jaipur,2835.98,2007_2012,83816,Others,Manual,Other,14.0,1061,64.0,Others,14.0,Maruti,Wagon R LXI BSIII
35,35,Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2017_2019,50075,Diesel,Manual,First,24.3,1248,88.5,Others,24.3,Maruti,Vitara Brezza ZDi Plus
36,36,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017_2019,52000,Others,Manual,First,18.15,1198,82.0,Others,18.15,Mahindra,KUV 100 mFALCON G80 K6 5str AW
37,37,Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013_2014,85000,Diesel,Automatic,First,11.74,2987,254.8,Others,11.74,Mercedes-Benz,M-Class ML 350 CDI
38,38,Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013_2014,62000,Diesel,Manual,First,22.07,1199,73.9,Others,22.07,Volkswagen,Polo Diesel Trendline 1.2L
39,39,Maruti Alto LXi,Delhi,1916.2,2007_2012,90000,Others,Manual,Other,19.7,796,46.3,Others,19.7,Maruti,Alto LXi
40,40,Tata Nano LX SE,Kochi,2345.43,2013_2014,19698,Others,Manual,First,25.4,624,37.5,4,25.4,Tata,Nano LX SE
41,41,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017_2019,22033,Diesel,Manual,First,25.32,1198,77.0,Others,25.32,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone
42,42,Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2013_2014,35487,Others,Manual,First,18.5,1197,82.9,Others,18.5,Hyundai,i20 Magna Optional 1.2
43,43,Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2013_2014,46374,Others,Automatic,First,14.62,1999,149.92,Others,14.62,Hyundai,Elantra 2.0 SX Option AT
44,44,Toyota Corolla Altis G AT,Mumbai,15498.23,2014_2016,52001,Others,Automatic,First,14.28,1798,138.03,Others,14.28,Toyota,Corolla Altis G AT
45,45,Hyundai Elantra CRDi,Ahmedabad,6515.08,2007_2012,58005,Diesel,Manual,Other,14.9,1991,112.2,Others,14.9,Hyundai,Elantra CRDi
46,46,Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2007_2012,70704,Others,Manual,First,11.25,2694,163.7,7,11.25,Toyota,Innova Crysta 2.7 GX MT
47,47,Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2013_2014,75000,Diesel,Manual,First,24.4,1120,71.0,Others,24.4,Hyundai,Xcent 1.1 CRDi S
48,48,Mahindra Thar CRDe AC,Jaipur,8431.28,2007_2012,75800,Diesel,Manual,Other,16.55,2498,105.0,Others,16.55,Mahindra,Thar CRDe AC
49,49,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2014_2016,13648,Diesel,Automatic,First,17.11,1968,174.33,Others,17.11,Audi,A4 2.0 TDI 177 Bhp Premium Plus
50,50,Maruti Swift LDI,Delhi,6515.08,2013_2014,52000,Diesel,Manual,First,22.9,1248,74.0,Others,22.9,Maruti,Swift LDI
51,51,Maruti Swift Ldi BSIV,Kolkata,5058.77,2013_2014,53000,Diesel,Manual,First,17.8,1248,75.0,Others,17.8,Maruti,Swift Ldi BSIV
52,52,Maruti Swift VDI,Delhi,5901.9,2013_2014,65650,Diesel,Manual,First,28.4,1248,74.0,Others,28.4,Maruti,Swift VDI
53,53,Hyundai Grand i10 Sportz,Chennai,5518.66,2014_2016,54000,Others,Manual,Other,18.9,1197,82.0,Others,18.9,Hyundai,Grand i10 Sportz
54,54,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2014_2016,39000,Others,Manual,First,15.04,1598,103.2,Others,15.04,Volkswagen,Vento 2013-2015 1.6 Comfortline
55,55,Renault KWID RXT,Kochi,5058.77,2017_2019,16542,Others,Manual,First,25.17,799,53.3,Others,25.17,Renault,KWID RXT
56,56,Hyundai i10 Asta,Kolkata,3173.23,2007_2012,32000,Others,Manual,First,20.36,1197,78.9,Others,20.36,Hyundai,i10 Asta
57,57,Nissan X-Trail SLX AT,Hyderabad,11880.44,2007_2012,121812,Diesel,Automatic,First,13.29,1995,147.6,Others,13.29,Nissan,X-Trail SLX AT
58,58,Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2007_2012,39300,Others,Manual,First,18.2,998,67.1,Others,18.2,Maruti,Zen Estilo VXI BSIII
