Unnamed: 0,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,location_label
0,Maruti Wagon R LXI CNG,Mumbai,2682.68,2010,72000,CNG,Manual,First,26.6,998,58.16,5,38,location_big
1,Hyundai Creta 1.6 CRDi SX Option,Pune,19162,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,19.67,location_small
2,Honda Jazz V,Chennai,6898.32,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,18.2,location_small
3,Maruti Ertiga VDI,Chennai,9197.76,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,20.77,location_small
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,27194.71,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,15.2,location_big
5,Hyundai EON LPG Era Plus Option,Hyderabad,3602.46,2012,75000,LPG,Manual,First,21.1,814,55.2,5,11.10526316,location_big
6,Nissan Micra Diesel XV,Jaipur,5365.36,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,23.08,location_small
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,26826.8,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,11.36,location_big
8,Volkswagen Vento Diesel Comfortline,Pune,7971.39,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,20.54,location_small
9,Tata Indica Vista Quadrajet LS,Chennai,2989.27,2012,65932,Diesel,Manual,Second,22.3,1248,74,5,22.3,location_small
10,Maruti Ciaz Zeta,Kochi,15252.95,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,21.56,location_big
11,Honda City 1.5 V AT Sunroof,Kolkata,6882.99,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,16.8,location_small
12,Maruti Swift VDI BSIV,Jaipur,8584.58,2015,64424,Diesel,Manual,First,25.2,1248,74,5,25.2,location_small
13,Land Rover Range Rover 2.2L Pure,Delhi,41389.92,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,12.7,location_big
15,Mitsubishi Pajero Sport 4X4,Delhi,22994.4,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,13.5,location_big
16,Honda Amaze S i-Dtech,Kochi,8277.98,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,25.8,location_big
17,Maruti Swift DDiS VDI,Jaipur,9182.43,2017,25000,Diesel,Manual,First,28.4,1248,74,5,28.4,location_small
18,Renault Duster 85PS Diesel RxL Plus,Kochi,9718.97,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,20.45,location_big
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,42922.88,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,14.84,location_big
20,BMW 3 Series 320d,Kochi,28436.41,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,22.69,location_big
21,Maruti S Cross DDiS 200 Alpha,Bangalore,12646.92,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,23.65,location_big
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,36024.56,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,13.53,location_big
23,Hyundai i20 1.2 Magna,Kolkata,2866.64,2010,45807,Petrol,Manual,First,18.5,1197,80,5,18.5,location_small
24,Volkswagen Vento Petrol Highline AT,Kolkata,4368.94,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,14.4,location_small
25,Honda City Corporate Edition,Mumbai,6515.08,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,16.8,location_big
26,Nissan Micra Diesel XV,Hyderabad,6515.08,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,23.08,location_big
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,20.92,location_big
28,Honda WRV i-VTEC VX,Kochi,15176.3,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,17.5,location_big
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,12.8,location_big
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,19.01,location_big
31,Toyota Corolla Altis G,Delhi,10347.48,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,14.53,location_big
32,Mahindra Ssangyong Rexton RX7,Bangalore,19162,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,11.18,location_big
33,Audi A6 2.7 TDI,Kolkata,17629.04,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,12.4,location_small
34,Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,16.09,location_big
35,Maruti Wagon R LXI BSIII,Jaipur,2835.98,2009,83816,Petrol,Manual,Second,14,1061,64,5,14,location_small
36,Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,24.3,location_big
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017,52000,Petrol,Manual,First,18.15,1198,82,5,18.15,location_big
38,Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,11.74,location_small
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,22.07,location_small
40,Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,19.7,location_big
41,Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,25.4,location_big
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25.32,1198,77,6,25.32,location_big
43,Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,18.5,location_big
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,14.62,location_big
45,Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,14.28,location_big
46,Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,14.9,location_big
