,회원번호,회원상태,성별,나이,등록카드,결혼,구독여부,주소지,세부주소지,나이대
0,18764160,정상회원,여,68,농협중앙회,기혼,False,서울특별시,성동구,60대
1,18792000,정상회원,남,83,연결앱결제,미확인,False,강원도,강릉시,70대이상
2,18942336,정상회원,여,39,신한은행,기혼,False,인천광역시,중구,30대
3,18949760,정상회원,여,73,기업은행,미확인,미확인,강원도,홍천군,70대이상
4,19391488,정상회원,여,52,연결앱결제,기혼,False,대전광역시,중구,50대
5,19627200,정상회원,여,45,기업은행,미확인,False,전라북도,군산시,40대
6,19727424,정상회원,여,50,롯데카드,기혼,False,부산광역시,기장군,50대
7,19996544,정상회원,여,45,삼성카드,미확인,False,경기도,구리시,40대
8,20235968,정상회원,여,53,농협중앙회,미확인,미확인,경기도,수원시,50대
9,20258240,정상회원,여,43,우체국,기혼,False,전라북도,완주군,40대
10,20588608,정상회원,여,43,롯데카드,미확인,False,인천광역시,남동구,40대
11,20636864,정상회원,여,58,우리은행,미확인,False,경기도,수원시,50대
12,21134272,정상회원,여,41,롯데카드,미확인,False,울산광역시,남구,40대
13,21457216,정상회원,여,48,하나은행,미확인,False,경상북도,경주시,40대
14,21982464,정상회원,여,42,현대카드,기혼,미확인,경상남도,사천시,40대
15,22112384,정상회원,여,52,연결앱결제,미확인,False,경기도,의정부시,50대
16,22259008,정상회원,여,46,신한은행,기혼,미확인,강원도,정선군,40대
17,22270144,정상회원,여,44,롯데카드,미확인,False,전라남도,영암군,40대
18,22990272,정상회원,여,62,롯데카드,미확인,False,인천광역시,남동구,60대
19,23437568,정상회원,여,48,농협중앙회,기혼,미확인,경기도,안성시,40대
20,23485824,정상회원,여,41,연결앱결제,기혼,False,경상남도,거창군,40대
21,23573056,정상회원,여,41,신한카드,기혼,미확인,서울특별시,양천구,40대
22,24098304,정상회원,여,58,신한은행,기혼,True,경기도,안양시,50대
23,24883392,정상회원,여,65,롯데카드,기혼,False,전라북도,전주시,60대
24,25145088,정상회원,여,47,연결앱결제,미확인,False,경상남도,김해시,40대
25,26110208,정상회원,여,38,국민은행,기혼,False,경기도,시흥시,30대
26,26355200,정상회원,여,64,연결앱결제,미혼,미확인,강원도,춘천시,60대
27,26676288,정상회원,여,38,부산은행,기혼,False,경기도,평택시,30대
28,27021504,정상회원,여,45,롯데카드,기혼,False,경기도,안성시,40대
29,27066048,정상회원,여,49,농협중앙회,기혼,False,경상북도,안동시,40대
30,27210816,정상회원,여,48,롯데카드,미확인,False,경기도,오산시,40대
